product_id,name,description,price,currency,category,price_band,gift_eligible,gift_wrappable,is_new_arrival,is_bestseller,review_count,image_url
P001,Silver Gift Box Necklace Set,A delicate silver necklace and bracelet pairing presented in a luxury gift box. Perfect for birthdays and anniversaries.,45.0,USD,necklace,entry,True,True,False,True,312,/images/products/P001.jpg
P002,Gold Pendant Gift Set,A classic gold-tone pendant necklace with matching earrings in elegant gift packaging. Ideal for gifting.,58.0,USD,necklace,entry,True,True,False,True,278,/images/products/P002.jpg
P003,Rose Gold Layering Set,Three rose gold-tone chain necklaces designed to be worn together or separately. Comes in a satin pouch.,52.0,USD,necklace,entry,True,True,False,False,189,/images/products/P003.jpg
P004,Crystal Charm Bracelet Gift Set,A shimmering crystal charm bracelet with a personalised charm slot. Arrives in a ribbon-tied gift box.,38.0,USD,bracelet,entry,True,True,False,True,401,/images/products/P004.jpg
P005,Dainty Pearl Drop Gift Set,Pearl drop earrings and a matching pearl pendant necklace in a velvet gift case. Classic and timeless.,64.0,USD,earrings,entry,True,True,False,False,156,/images/products/P005.jpg
P006,Birthstone Pendant Gift Set,A sterling silver pendant featuring a choice of twelve birthstone colours. Includes a gift card slot.,42.0,USD,necklace,entry,True,True,False,True,534,/images/products/P006.jpg
P007,Friendship Bracelet Duo,"Two matching woven bracelets with silver clasp — one for you, one for a friend. Comes in a two-slot box.",35.0,USD,bracelet,entry,True,True,False,True,622,/images/products/P007.jpg
P008,Engraved Heart Necklace Gift,A polished heart pendant with engraving option on the reverse. Presented in a satin-lined gift box.,48.0,USD,necklace,entry,True,True,False,False,213,/images/products/P008.jpg
P009,Floral Stud Earrings Gift Box,Delicate flower-shaped enamel stud earrings in four colour options. Boxed with a gift note card.,32.0,USD,earrings,entry,True,True,False,True,445,/images/products/P009.jpg
P010,Celestial Star Gift Set,Crescent moon and star pendant necklace with star stud earrings. A thoughtful constellation-themed gift.,55.0,USD,necklace,entry,True,True,False,False,178,/images/products/P010.jpg
P011,Minimalist Gold Necklace Gift,"A single fine gold-tone chain with a tiny bar pendant. Clean, modern, and giftable at any occasion.",40.0,USD,necklace,entry,True,True,False,True,389,/images/products/P011.jpg
P012,Stackable Ring Gift Set (3-pack),"Three slim stackable rings in gold, silver and rose gold tones. Gift boxed with a size guide.",49.0,USD,ring,entry,True,True,False,False,267,/images/products/P012.jpg
P013,Thank You Jewellery Gift Set,A curated set of a necklace and earrings with a 'Thank You' sentiment card. Ready to gift.,62.0,USD,necklace,entry,True,True,False,False,134,/images/products/P013.jpg
P014,Mother Gift Set — Necklace and Earrings,A timeless combination of pearl-accent necklace and drop earrings. Presented in a keepsake box.,72.0,USD,necklace,entry,True,True,False,True,512,/images/products/P014.jpg
P015,Crystal Pendant Necklace Gift,A sparkling faceted crystal pendant on a fine chain. Arrives boxed with complimentary tissue paper.,44.0,USD,necklace,entry,True,True,False,False,198,/images/products/P015.jpg
P016,Gold Hoop Gift Set,Three sizes of gold-tone hoop earrings in a coordinated gift set. Polished and versatile.,36.0,USD,earrings,entry,True,True,False,True,341,/images/products/P016.jpg
P017,Charm Necklace Gift Set,"A delicate chain necklace with three detachable charms — heart, star, moon. Comes gift-wrapped.",58.0,USD,necklace,entry,True,True,False,False,221,/images/products/P017.jpg
P018,Diamond-Cut Gold Necklace,A luxurious 18ct gold-plated diamond-cut chain necklace from the new Radiance Collection. Limited availability.,195.0,USD,necklace,premium,False,True,True,False,28,/images/products/P018.jpg
P019,Emerald Statement Necklace,A striking hand-set emerald cabochon pendant in a gold-tone setting. Part of the Gemstone Edit.,285.0,USD,necklace,premium,False,True,True,False,14,/images/products/P019.jpg
P020,Pearl Strand Premium Necklace,"Freshwater pearl strand necklace with a 14ct gold-filled clasp. New season, restocked by popular demand.",320.0,USD,necklace,premium,False,True,True,False,41,/images/products/P020.jpg
P021,Sapphire Cluster Drop Earrings,Oval-cut synthetic sapphire drops in a gold-tone cluster setting. Elegant new arrival for the season.,165.0,USD,earrings,premium,False,True,True,False,19,/images/products/P021.jpg
P022,Art Deco Cuff Bracelet,A wide gold-tone cuff with geometric Art Deco engraving. A bold new statement piece.,210.0,USD,bracelet,premium,False,True,True,False,11,/images/products/P022.jpg
P023,Ruby Heart Pendant,A heart-shaped synthetic ruby pendant on a 14ct gold-filled chain. New to the collection.,240.0,USD,necklace,premium,False,True,True,False,22,/images/products/P023.jpg
P024,Twisted Gold Rope Chain,"A hand-crafted twisted rope chain in 18ct gold plate. A timeless investment piece, new this season.",175.0,USD,necklace,premium,False,True,True,False,35,/images/products/P024.jpg
P025,Moonstone Pendant Necklace,Iridescent natural moonstone set in a fine silver setting. Arrives in a premium jewellery pouch.,190.0,USD,necklace,premium,False,True,True,False,17,/images/products/P025.jpg
P026,Diamond Halo Drop Earrings,"Pear-shaped CZ stones in a diamond halo setting. New arrival, elevated everyday earring.",155.0,USD,earrings,premium,False,True,True,False,9,/images/products/P026.jpg
P027,Oxidised Silver Collar Necklace,A wide oxidised sterling silver collar necklace. Architectural and bold. New for the collection.,260.0,USD,necklace,premium,False,True,True,False,7,/images/products/P027.jpg
P028,Turquoise Statement Ring,An oversized turquoise cabochon set in sterling silver. A new signature statement piece.,185.0,USD,ring,premium,False,True,True,False,13,/images/products/P028.jpg
P029,Gold Chain Tassel Necklace,"A waterfall of fine gold chains creating a tassel effect. New arrival, makes an instant statement.",220.0,USD,necklace,premium,False,True,True,False,24,/images/products/P029.jpg
P030,Onyx Drop Earrings,Polished black onyx drops in a brushed gold setting. Sleek new arrival for the capsule collection.,145.0,USD,earrings,premium,False,True,True,False,31,/images/products/P030.jpg
